lat,lon,alt
19.05,-99.35,2240
19.05,-99.341,2240
19.05,-99.332,2240
19.05,-99.323,2240
19.05,-99.314,2240
19.05,-99.305,2240
19.05,-99.296,2240
19.05,-99.287,2240
19.05,-99.278,2240
19.05,-99.269,2240
19.05,-99.26,2240
19.05,-99.251,2240
19.05,-99.242,2240
19.05,-99.233,2240
19.05,-99.224,2240
19.05,-99.215,2240
19.05,-99.206,2240
19.05,-99.197,2240
19.05,-99.188,2240
19.05,-99.179,2240
19.05,-99.17,2240
19.05,-99.161,2240
19.05,-99.152,2240
19.05,-99.143,2240
19.05,-99.134,2240
19.05,-99.125,2240
19.05,-99.116,2240
19.05,-99.107,2240
19.05,-99.098,2240
19.05,-99.089,2240
19.05,-99.08,2240
19.05,-99.071,2240
19.05,-99.062,2240
19.05,-99.053,2240
19.05,-99.044,2240
19.05,-99.035,2240
19.05,-99.026,2240
19.05,-99.017,2240
19.05,-99.008,2240
19.05,-98.999,2240
19.05,-98.99,2240
19.05,-98.981,2240
19.05,-98.972,2240
19.05,-98.963,2240
19.05,-98.954,2240
19.05,-98.945,2240
19.05,-98.936,2240
19.05,-98.927,2240
19.05,-98.918,2240
19.05,-98.909,2240
19.059,-99.35,2240
19.059,-99.341,2240
19.059,-99.332,2240
19.059,-99.323,2240
19.059,-99.314,2240
19.059,-99.305,2240
19.059,-99.296,2240
19.059,-99.287,2240
19.059,-99.278,2240
19.059,-99.269,2240
19.059,-99.26,2240
19.059,-99.251,2240
19.059,-99.242,2240
19.059,-99.233,2240
19.059,-99.224,2240
19.059,-99.215,2240
19.059,-99.206,2240
19.059,-99.197,2240
19.059,-99.188,2240
19.059,-99.179,2240
19.059,-99.17,2240
19.059,-99.161,2240
19.059,-99.152,2240
19.059,-99.143,2240
19.059,-99.134,2240
19.059,-99.125,2240
19.059,-99.116,2240
19.059,-99.107,2240
19.059,-99.098,2240
19.059,-99.089,2240
19.059,-99.08,2240
19.059,-99.071,2240
19.059,-99.062,2240
19.059,-99.053,2240
19.059,-99.044,2240
19.059,-99.035,2240
19.059,-99.026,2240
19.059,-99.017,2240
19.059,-99.008,2240
19.059,-98.999,2240
19.059,-98.99,2240
19.059,-98.981,2240
19.059,-98.972,2240
19.059,-98.963,2240
19.059,-98.954,2240
19.059,-98.945,2240
19.059,-98.936,2240
19.059,-98.927,2240
19.059,-98.918,2240
19.059,-98.909,2240
19.068,-99.35,2240
19.068,-99.341,2240
19.068,-99.332,2240
19.068,-99.323,2240
19.068,-99.314,2240
19.068,-99.305,2240
19.068,-99.296,2240
19.068,-99.287,2240
19.068,-99.278,2240
19.068,-99.269,2240
19.068,-99.26,2240
19.068,-99.251,2240
19.068,-99.242,2240
19.068,-99.233,2240
19.068,-99.224,2240
19.068,-99.215,2240
19.068,-99.206,2240
19.068,-99.197,2240
19.068,-99.188,2240
19.068,-99.179,2240
19.068,-99.17,2240
19.068,-99.161,2240
19.068,-99.152,2240
19.068,-99.143,2240
19.068,-99.134,2240
19.068,-99.125,2240
19.068,-99.116,2240
19.068,-99.107,2240
19.068,-99.098,2240
19.068,-99.089,2240
19.068,-99.08,2240
19.068,-99.071,2240
19.068,-99.062,2240
19.068,-99.053,2240
19.068,-99.044,2240
19.068,-99.035,2240
19.068,-99.026,2240
19.068,-99.017,2240
19.068,-99.008,2240
19.068,-98.999,2240
19.068,-98.99,2240
19.068,-98.981,2240
19.068,-98.972,2240
19.068,-98.963,2240
19.068,-98.954,2240
19.068,-98.945,2240
19.068,-98.936,2240
19.068,-98.927,2240
19.068,-98.918,2240
19.068,-98.909,2240
19.077,-99.35,2240
19.077,-99.341,2240
19.077,-99.332,2240
19.077,-99.323,2240
19.077,-99.314,2240
19.077,-99.305,2240
19.077,-99.296,2240
19.077,-99.287,2240
19.077,-99.278,2240
19.077,-99.269,2240
19.077,-99.26,2240
19.077,-99.251,2240
19.077,-99.242,2240
19.077,-99.233,2240
19.077,-99.224,2240
19.077,-99.215,2240
19.077,-99.206,2240
19.077,-99.197,2240
19.077,-99.188,2240
19.077,-99.179,2240
19.077,-99.17,2240
19.077,-99.161,2240
19.077,-99.152,2240
19.077,-99.143,2240
19.077,-99.134,2240
19.077,-99.125,2240
19.077,-99.116,2240
19.077,-99.107,2240
19.077,-99.098,2240
19.077,-99.089,2240
19.077,-99.08,2240
19.077,-99.071,2240
19.077,-99.062,2240
19.077,-99.053,2240
19.077,-99.044,2240
19.077,-99.035,2240
19.077,-99.026,2240
19.077,-99.017,2240
19.077,-99.008,2240
19.077,-98.999,2240
19.077,-98.99,2240
19.077,-98.981,2240
19.077,-98.972,2240
19.077,-98.963,2240
19.077,-98.954,2240
19.077,-98.945,2240
19.077,-98.936,2240
19.077,-98.927,2240
19.077,-98.918,2240
19.077,-98.909,2240
19.086,-99.35,2240
19.086,-99.341,2240
19.086,-99.332,2240
19.086,-99.323,2240
19.086,-99.314,2240
19.086,-99.305,2240
19.086,-99.296,2240
19.086,-99.287,2240
19.086,-99.278,2240
19.086,-99.269,2240
19.086,-99.26,2240
19.086,-99.251,2240
19.086,-99.242,2240
19.086,-99.233,2240
19.086,-99.224,2240
19.086,-99.215,2240
19.086,-99.206,2240
19.086,-99.197,2240
19.086,-99.188,2240
19.086,-99.179,2240
19.086,-99.17,2240
19.086,-99.161,2240
19.086,-99.152,2240
19.086,-99.143,2240
19.086,-99.134,2240
19.086,-99.125,2240
19.086,-99.116,2240
19.086,-99.107,2240
19.086,-99.098,2240
19.086,-99.089,2240
19.086,-99.08,2240
19.086,-99.071,2240
19.086,-99.062,2240
19.086,-99.053,2240
19.086,-99.044,2240
19.086,-99.035,2240
19.086,-99.026,2240
19.086,-99.017,2240
19.086,-99.008,2240
19.086,-98.999,2240
19.086,-98.99,2240
19.086,-98.981,2240
19.086,-98.972,2240
19.086,-98.963,2240
19.086,-98.954,2240
19.086,-98.945,2240
19.086,-98.936,2240
19.086,-98.927,2240
19.086,-98.918,2240
19.086,-98.909,2240
19.095,-99.35,2240
19.095,-99.341,2240
19.095,-99.332,2240
19.095,-99.323,2240
19.095,-99.314,2240
19.095,-99.305,2240
19.095,-99.296,2240
19.095,-99.287,2240
19.095,-99.278,2240
19.095,-99.269,2240
19.095,-99.26,2240
19.095,-99.251,2240
19.095,-99.242,2240
19.095,-99.233,2240
19.095,-99.224,2240
19.095,-99.215,2240
19.095,-99.206,2240
19.095,-99.197,2240
19.095,-99.188,2240
19.095,-99.179,2240
19.095,-99.17,2240
19.095,-99.161,2240
19.095,-99.152,2240
19.095,-99.143,2240
19.095,-99.134,2240
19.095,-99.125,2240
19.095,-99.116,2240
19.095,-99.107,2240
19.095,-99.098,2240
19.095,-99.089,2240
19.095,-99.08,2240
19.095,-99.071,2240
19.095,-99.062,2240
19.095,-99.053,2240
19.095,-99.044,2240
19.095,-99.035,2240
19.095,-99.026,2240
19.095,-99.017,2240
19.095,-99.008,2240
19.095,-98.999,2240
19.095,-98.99,2240
19.095,-98.981,2240
19.095,-98.972,2240
19.095,-98.963,2240
19.095,-98.954,2240
19.095,-98.945,2240
19.095,-98.936,2240
19.095,-98.927,2240
19.095,-98.918,2240
19.095,-98.909,2240
19.104,-99.35,2240
19.104,-99.341,2240
19.104,-99.332,2240
19.104,-99.323,2240
19.104,-99.314,2240
19.104,-99.305,2240
19.104,-99.296,2240
19.104,-99.287,2240
19.104,-99.278,2240
19.104,-99.269,2240
19.104,-99.26,2240
19.104,-99.251,2240
19.104,-99.242,2240
19.104,-99.233,2240
19.104,-99.224,2240
19.104,-99.215,2240
19.104,-99.206,2240
19.104,-99.197,2240
19.104,-99.188,2240
19.104,-99.179,2240
19.104,-99.17,2240
19.104,-99.161,2240
19.104,-99.152,2240
19.104,-99.143,2240
19.104,-99.134,2240
19.104,-99.125,2240
19.104,-99.116,2240
19.104,-99.107,2240
19.104,-99.098,2240
19.104,-99.089,2240
19.104,-99.08,2240
19.104,-99.071,2240
19.104,-99.062,2240
19.104,-99.053,2240
19.104,-99.044,2240
19.104,-99.035,2240
19.104,-99.026,2240
19.104,-99.017,2240
19.104,-99.008,2240
19.104,-98.999,2240
19.104,-98.99,2240
19.104,-98.981,2240
19.104,-98.972,2240
19.104,-98.963,2240
19.104,-98.954,2240
19.104,-98.945,2240
19.104,-98.936,2240
19.104,-98.927,2240
19.104,-98.918,2240
19.104,-98.909,2240
19.113,-99.35,2240
19.113,-99.341,2240
19.113,-99.332,2240
19.113,-99.323,2240
19.113,-99.314,2240
19.113,-99.305,2240
19.113,-99.296,2240
19.113,-99.287,2240
19.113,-99.278,2240
19.113,-99.269,2240
19.113,-99.26,2240
19.113,-99.251,2240
19.113,-99.242,2240
19.113,-99.233,2240
19.113,-99.224,2240
19.113,-99.215,2240
19.113,-99.206,2240
19.113,-99.197,2240
19.113,-99.188,2240
19.113,-99.179,2240
19.113,-99.17,2240
19.113,-99.161,2240
19.113,-99.152,2240
19.113,-99.143,2240
19.113,-99.134,2240
19.113,-99.125,2240
19.113,-99.116,2240
19.113,-99.107,2240
19.113,-99.098,2240
19.113,-99.089,2240
19.113,-99.08,2240
19.113,-99.071,2240
19.113,-99.062,2240
19.113,-99.053,2240
19.113,-99.044,2240
19.113,-99.035,2240
19.113,-99.026,2240
19.113,-99.017,2240
19.113,-99.008,2240
19.113,-98.999,2240
19.113,-98.99,2240
19.113,-98.981,2240
19.113,-98.972,2240
19.113,-98.963,2240
19.113,-98.954,2240
19.113,-98.945,2240
19.113,-98.936,2240
19.113,-98.927,2240
19.113,-98.918,2240
19.113,-98.909,2240
19.122,-99.35,2240
19.122,-99.341,2240
19.122,-99.332,2240
19.122,-99.323,2240
19.122,-99.314,2240
19.122,-99.305,2240
19.122,-99.296,2240
19.122,-99.287,2240
19.122,-99.278,2240
19.122,-99.269,2240
19.122,-99.26,2240
19.122,-99.251,2240
19.122,-99.242,2240
19.122,-99.233,2240
19.122,-99.224,2240
19.122,-99.215,2240
19.122,-99.206,2240
19.122,-99.197,2240
19.122,-99.188,2240
19.122,-99.179,2240
19.122,-99.17,2240
19.122,-99.161,2240
19.122,-99.152,2240
19.122,-99.143,2240
19.122,-99.134,2240
19.122,-99.125,2240
19.122,-99.116,2240
19.122,-99.107,2240
19.122,-99.098,2240
19.122,-99.089,2240
19.122,-99.08,2240
19.122,-99.071,2240
19.122,-99.062,2240
19.122,-99.053,2240
19.122,-99.044,2240
19.122,-99.035,2240
19.122,-99.026,2240
19.122,-99.017,2240
19.122,-99.008,2240
19.122,-98.999,2240
19.122,-98.99,2240
19.122,-98.981,2240
19.122,-98.972,2240
19.122,-98.963,2240
19.122,-98.954,2240
19.122,-98.945,2240
19.122,-98.936,2240
19.122,-98.927,2240
19.122,-98.918,2240
19.122,-98.909,2240
19.131,-99.35,2240
19.131,-99.341,2240
19.131,-99.332,2240
19.131,-99.323,2240
19.131,-99.314,2240
19.131,-99.305,2240
19.131,-99.296,2240
19.131,-99.287,2240
19.131,-99.278,2240
19.131,-99.269,2240
19.131,-99.26,2240
19.131,-99.251,2240
19.131,-99.242,2240
19.131,-99.233,2240
19.131,-99.224,2240
19.131,-99.215,2240
19.131,-99.206,2240
19.131,-99.197,2240
19.131,-99.188,2240
19.131,-99.179,2240
19.131,-99.17,2240
19.131,-99.161,2240
19.131,-99.152,2240
19.131,-99.143,2240
19.131,-99.134,2240
19.131,-99.125,2240
19.131,-99.116,2240
19.131,-99.107,2240
19.131,-99.098,2240
19.131,-99.089,2240
19.131,-99.08,2240
19.131,-99.071,2240
19.131,-99.062,2240
19.131,-99.053,2240
19.131,-99.044,2240
19.131,-99.035,2240
19.131,-99.026,2240
19.131,-99.017,2240
19.131,-99.008,2240
19.131,-98.999,2240
19.131,-98.99,2240
19.131,-98.981,2240
19.131,-98.972,2240
19.131,-98.963,2240
19.131,-98.954,2240
19.131,-98.945,2240
19.131,-98.936,2240
19.131,-98.927,2240
19.131,-98.918,2240
19.131,-98.909,2240
19.14,-99.35,2240
19.14,-99.341,2240
19.14,-99.332,2240
19.14,-99.323,2240
19.14,-99.314,2240
19.14,-99.305,2240
19.14,-99.296,2240
19.14,-99.287,2240
19.14,-99.278,2240
19.14,-99.269,2240
19.14,-99.26,2240
19.14,-99.251,2240
19.14,-99.242,2240
19.14,-99.233,2240
19.14,-99.224,2240
19.14,-99.215,2240
19.14,-99.206,2240
19.14,-99.197,2240
19.14,-99.188,2240
19.14,-99.179,2240
19.14,-99.17,2240
19.14,-99.161,2240
19.14,-99.152,2240
19.14,-99.143,2240
19.14,-99.134,2240
19.14,-99.125,2240
19.14,-99.116,2240
19.14,-99.107,2240
19.14,-99.098,2240
19.14,-99.089,2240
19.14,-99.08,2240
19.14,-99.071,2240
19.14,-99.062,2240
19.14,-99.053,2240
19.14,-99.044,2240
19.14,-99.035,2240
19.14,-99.026,2240
19.14,-99.017,2240
19.14,-99.008,2240
19.14,-98.999,2240
19.14,-98.99,2240
19.14,-98.981,2240
19.14,-98.972,2240
19.14,-98.963,2240
19.14,-98.954,2240
19.14,-98.945,2240
19.14,-98.936,2240
19.14,-98.927,2240
19.14,-98.918,2240
19.14,-98.909,2240
19.149,-99.35,2240
19.149,-99.341,2240
19.149,-99.332,2240
19.149,-99.323,2240
19.149,-99.314,2240
19.149,-99.305,2240
19.149,-99.296,2240
19.149,-99.287,2240
19.149,-99.278,2240
19.149,-99.269,2240
19.149,-99.26,2240
19.149,-99.251,2240
19.149,-99.242,2240
19.149,-99.233,2240
19.149,-99.224,2240
19.149,-99.215,2240
19.149,-99.206,2240
19.149,-99.197,2240
19.149,-99.188,2240
19.149,-99.179,2240
19.149,-99.17,2240
19.149,-99.161,2240
19.149,-99.152,2240
19.149,-99.143,2240
19.149,-99.134,2240
19.149,-99.125,2240
19.149,-99.116,2240
19.149,-99.107,2240
19.149,-99.098,2240
19.149,-99.089,2240
19.149,-99.08,2240
19.149,-99.071,2240
19.149,-99.062,2240
19.149,-99.053,2240
19.149,-99.044,2240
19.149,-99.035,2240
19.149,-99.026,2240
19.149,-99.017,2240
19.149,-99.008,2240
19.149,-98.999,2240
19.149,-98.99,2240
19.149,-98.981,2240
19.149,-98.972,2240
19.149,-98.963,2240
19.149,-98.954,2240
19.149,-98.945,2240
19.149,-98.936,2240
19.149,-98.927,2240
19.149,-98.918,2240
19.149,-98.909,2240
19.158,-99.35,2240
19.158,-99.341,2240
19.158,-99.332,2240
19.158,-99.323,2240
19.158,-99.314,2240
19.158,-99.305,2240
19.158,-99.296,2240
19.158,-99.287,2240
19.158,-99.278,2240
19.158,-99.269,2240
19.158,-99.26,2240
19.158,-99.251,2240
19.158,-99.242,2240
19.158,-99.233,2240
19.158,-99.224,2240
19.158,-99.215,2240
19.158,-99.206,2240
19.158,-99.197,2240
19.158,-99.188,2240
19.158,-99.179,2240
19.158,-99.17,2240
19.158,-99.161,2240
19.158,-99.152,2240
19.158,-99.143,2240
19.158,-99.134,2240
19.158,-99.125,2240
19.158,-99.116,2240
19.158,-99.107,2240
19.158,-99.098,2240
19.158,-99.089,2240
19.158,-99.08,2240
19.158,-99.071,2240
19.158,-99.062,2240
19.158,-99.053,2240
19.158,-99.044,2240
19.158,-99.035,2240
19.158,-99.026,2240
19.158,-99.017,2240
19.158,-99.008,2240
19.158,-98.999,2240
19.158,-98.99,2240
19.158,-98.981,2240
19.158,-98.972,2240
19.158,-98.963,2240
19.158,-98.954,2240
19.158,-98.945,2240
19.158,-98.936,2240
19.158,-98.927,2240
19.158,-98.918,2240
19.158,-98.909,2240
19.167,-99.35,2240
19.167,-99.341,2240
19.167,-99.332,2240
19.167,-99.323,2240
19.167,-99.314,2240
19.167,-99.305,2240
19.167,-99.296,2240
19.167,-99.287,2240
19.167,-99.278,2240
19.167,-99.269,2240
19.167,-99.26,2240
19.167,-99.251,2240
19.167,-99.242,2240
19.167,-99.233,2240
19.167,-99.224,2240
19.167,-99.215,2240
19.167,-99.206,2240
19.167,-99.197,2240
19.167,-99.188,2240
19.167,-99.179,2240
19.167,-99.17,2240
19.167,-99.161,2240
19.167,-99.152,2240
19.167,-99.143,2240
19.167,-99.134,2240
19.167,-99.125,2240
19.167,-99.116,2240
19.167,-99.107,2240
19.167,-99.098,2240
19.167,-99.089,2240
19.167,-99.08,2240
19.167,-99.071,2240
19.167,-99.062,2240
19.167,-99.053,2240
19.167,-99.044,2240
19.167,-99.035,2240
19.167,-99.026,2240
19.167,-99.017,2240
19.167,-99.008,2240
19.167,-98.999,2240
19.167,-98.99,2240
19.167,-98.981,2240
19.167,-98.972,2240
19.167,-98.963,2240
19.167,-98.954,2240
19.167,-98.945,2240
19.167,-98.936,2240
19.167,-98.927,2240
19.167,-98.918,2240
19.167,-98.909,2240
19.176,-99.35,2240
19.176,-99.341,2240
19.176,-99.332,2240
19.176,-99.323,2240
19.176,-99.314,2240
19.176,-99.305,2240
19.176,-99.296,2240
19.176,-99.287,2240
19.176,-99.278,2240
19.176,-99.269,2240
19.176,-99.26,2240
19.176,-99.251,2240
19.176,-99.242,2240
19.176,-99.233,2240
19.176,-99.224,2240
19.176,-99.215,2240
19.176,-99.206,2240
19.176,-99.197,2240
19.176,-99.188,2240
19.176,-99.179,2240
19.176,-99.17,2240
19.176,-99.161,2240
19.176,-99.152,2240
19.176,-99.143,2240
19.176,-99.134,2240
19.176,-99.125,2240
19.176,-99.116,2240
19.176,-99.107,2240
19.176,-99.098,2240
19.176,-99.089,2240
19.176,-99.08,2240
19.176,-99.071,2240
19.176,-99.062,2240
19.176,-99.053,2240
19.176,-99.044,2240
19.176,-99.035,2240
19.176,-99.026,2240
19.176,-99.017,2240
19.176,-99.008,2240
19.176,-98.999,2240
19.176,-98.99,2240
19.176,-98.981,2240
19.176,-98.972,2240
19.176,-98.963,2240
19.176,-98.954,2240
19.176,-98.945,2240
19.176,-98.936,2240
19.176,-98.927,2240
19.176,-98.918,2240
19.176,-98.909,2240
19.185,-99.35,2240
19.185,-99.341,2240
19.185,-99.332,2240
19.185,-99.323,2240
19.185,-99.314,2240
19.185,-99.305,2240
19.185,-99.296,2240
19.185,-99.287,2240
19.185,-99.278,2240
19.185,-99.269,2240
19.185,-99.26,2240
19.185,-99.251,2240
19.185,-99.242,2240
19.185,-99.233,2240
19.185,-99.224,2240
19.185,-99.215,2240
19.185,-99.206,2240
19.185,-99.197,2240
19.185,-99.188,2240
19.185,-99.179,2240
19.185,-99.17,2240
19.185,-99.161,2240
19.185,-99.152,2240
19.185,-99.143,2240
19.185,-99.134,2240
19.185,-99.125,2240
19.185,-99.116,2240
19.185,-99.107,2240
19.185,-99.098,2240
19.185,-99.089,2240
19.185,-99.08,2240
19.185,-99.071,2240
19.185,-99.062,2240
19.185,-99.053,2240
19.185,-99.044,2240
19.185,-99.035,2240
19.185,-99.026,2240
19.185,-99.017,2240
19.185,-99.008,2240
19.185,-98.999,2240
19.185,-98.99,2240
19.185,-98.981,2240
19.185,-98.972,2240
19.185,-98.963,2240
19.185,-98.954,2240
19.185,-98.945,2240
19.185,-98.936,2240
19.185,-98.927,2240
19.185,-98.918,2240
19.185,-98.909,2240
19.194,-99.35,2240
19.194,-99.341,2240
19.194,-99.332,2240
19.194,-99.323,2240
19.194,-99.314,2240
19.194,-99.305,2240
19.194,-99.296,2240
19.194,-99.287,2240
19.194,-99.278,2240
19.194,-99.269,2240
19.194,-99.26,2240
19.194,-99.251,2240
19.194,-99.242,2240
19.194,-99.233,2240
19.194,-99.224,2240
19.194,-99.215,2240
19.194,-99.206,2240
19.194,-99.197,2240
19.194,-99.188,2240
19.194,-99.179,2240
19.194,-99.17,2240
19.194,-99.161,2240
19.194,-99.152,2240
19.194,-99.143,2240
19.194,-99.134,2240
19.194,-99.125,2240
19.194,-99.116,2240
19.194,-99.107,2240
19.194,-99.098,2240
19.194,-99.089,2240
19.194,-99.08,2240
19.194,-99.071,2240
19.194,-99.062,2240
19.194,-99.053,2240
19.194,-99.044,2240
19.194,-99.035,2240
19.194,-99.026,2240
19.194,-99.017,2240
19.194,-99.008,2240
19.194,-98.999,2240
19.194,-98.99,2240
19.194,-98.981,2240
19.194,-98.972,2240
19.194,-98.963,2240
19.194,-98.954,2240
19.194,-98.945,2240
19.194,-98.936,2240
19.194,-98.927,2240
19.194,-98.918,2240
19.194,-98.909,2240
19.203,-99.35,2240
19.203,-99.341,2240
19.203,-99.332,2240
19.203,-99.323,2240
19.203,-99.314,2240
19.203,-99.305,2240
19.203,-99.296,2240
19.203,-99.287,2240
19.203,-99.278,2240
19.203,-99.269,2240
19.203,-99.26,2240
19.203,-99.251,2240
19.203,-99.242,2240
19.203,-99.233,2240
19.203,-99.224,2240
19.203,-99.215,2240
19.203,-99.206,2240
19.203,-99.197,2240
19.203,-99.188,2240
19.203,-99.179,2240
19.203,-99.17,2240
19.203,-99.161,2240
19.203,-99.152,2240
19.203,-99.143,2240
19.203,-99.134,2240
19.203,-99.125,2240
19.203,-99.116,2240
19.203,-99.107,2240
19.203,-99.098,2240
19.203,-99.089,2240
19.203,-99.08,2240
19.203,-99.071,2240
19.203,-99.062,2240
19.203,-99.053,2240
19.203,-99.044,2240
19.203,-99.035,2240
19.203,-99.026,2240
19.203,-99.017,2240
19.203,-99.008,2240
19.203,-98.999,2240
19.203,-98.99,2240
19.203,-98.981,2240
19.203,-98.972,2240
19.203,-98.963,2240
19.203,-98.954,2240
19.203,-98.945,2240
19.203,-98.936,2240
19.203,-98.927,2240
19.203,-98.918,2240
19.203,-98.909,2240
19.212,-99.35,2240
19.212,-99.341,2240
19.212,-99.332,2240
19.212,-99.323,2240
19.212,-99.314,2240
19.212,-99.305,2240
19.212,-99.296,2240
19.212,-99.287,2240
19.212,-99.278,2240
19.212,-99.269,2240
19.212,-99.26,2240
19.212,-99.251,2240
19.212,-99.242,2240
19.212,-99.233,2240
19.212,-99.224,2240
19.212,-99.215,2240
19.212,-99.206,2240
19.212,-99.197,2240
19.212,-99.188,2240
19.212,-99.179,2240
19.212,-99.17,2240
19.212,-99.161,2240
19.212,-99.152,2240
19.212,-99.143,2240
19.212,-99.134,2240
19.212,-99.125,2240
19.212,-99.116,2240
19.212,-99.107,2240
19.212,-99.098,2240
19.212,-99.089,2240
19.212,-99.08,2240
19.212,-99.071,2240
19.212,-99.062,2240
19.212,-99.053,2240
19.212,-99.044,2240
19.212,-99.035,2240
19.212,-99.026,2240
19.212,-99.017,2240
19.212,-99.008,2240
19.212,-98.999,2240
19.212,-98.99,2240
19.212,-98.981,2240
19.212,-98.972,2240
19.212,-98.963,2240
19.212,-98.954,2240
19.212,-98.945,2240
19.212,-98.936,2240
19.212,-98.927,2240
19.212,-98.918,2240
19.212,-98.909,2240
19.221,-99.35,2240
19.221,-99.341,2240
19.221,-99.332,2240
19.221,-99.323,2240
19.221,-99.314,2240
19.221,-99.305,2240
19.221,-99.296,2240
19.221,-99.287,2240
19.221,-99.278,2240
19.221,-99.269,2240
19.221,-99.26,2240
19.221,-99.251,2240
19.221,-99.242,2240
19.221,-99.233,2240
19.221,-99.224,2240
19.221,-99.215,2240
19.221,-99.206,2240
19.221,-99.197,2240
19.221,-99.188,2240
19.221,-99.179,2240
19.221,-99.17,2240
19.221,-99.161,2240
19.221,-99.152,2240
19.221,-99.143,2240
19.221,-99.134,2240
19.221,-99.125,2240
19.221,-99.116,2240
19.221,-99.107,2240
19.221,-99.098,2240
19.221,-99.089,2240
19.221,-99.08,2240
19.221,-99.071,2240
19.221,-99.062,2240
19.221,-99.053,2240
19.221,-99.044,2240
19.221,-99.035,2240
19.221,-99.026,2240
19.221,-99.017,2240
19.221,-99.008,2240
19.221,-98.999,2240
19.221,-98.99,2240
19.221,-98.981,2240
19.221,-98.972,2240
19.221,-98.963,2240
19.221,-98.954,2240
19.221,-98.945,2240
19.221,-98.936,2240
19.221,-98.927,2240
19.221,-98.918,2240
19.221,-98.909,2240
19.23,-99.35,2240
19.23,-99.341,2240
19.23,-99.332,2240
19.23,-99.323,2240
19.23,-99.314,2240
19.23,-99.305,2240
19.23,-99.296,2240
19.23,-99.287,2240
19.23,-99.278,2240
19.23,-99.269,2240
19.23,-99.26,2240
19.23,-99.251,2240
19.23,-99.242,2240
19.23,-99.233,2240
19.23,-99.224,2240
19.23,-99.215,2240
19.23,-99.206,2240
19.23,-99.197,2240
19.23,-99.188,2240
19.23,-99.179,2240
19.23,-99.17,2240
19.23,-99.161,2240
19.23,-99.152,2240
19.23,-99.143,2240
19.23,-99.134,2240
19.23,-99.125,2240
19.23,-99.116,2240
19.23,-99.107,2240
19.23,-99.098,2240
19.23,-99.089,2240
19.23,-99.08,2240
19.23,-99.071,2240
